ac_year,district_cd,District,Budget_district_seq,block_cd_1,Block_Name,MNC_SR,MNC_Desc,block_cd_2,vill_ward_cd,Village_Name,cluster_cd,Cluster_Name,udise_sch_code,school_name,address,pincode,Establishment,sch_loc_r_u,sch_category_id,School_category,sch_type,sch_mgmt_id,Mgt_desc,state_mgt_3,state_mgt_4,class_frm,class_to,medinstr1,medium_desc,medium_state,medinstr2,medinstr3,medinstr4,latitude,longitude,ppsec_yn,stdcode,mobile,stdcode_resp,phone_resp,mobile_resp,website,email,resp_name,cwsn_sch_yn,shift_sch_yn,resi_sch_type,resi_sch_type_Desc,minority_yn,minority_type,Minority_desc,anganwadi_yn,anganwadi_code,anganwadi_stu_b,anganwadi_stu_g,anganwadi_tch_trained,board_sec,Board_Desc_Sec,board_sec_no,board_sec_oth,board_hsec,Board_Hseco_Desc,board_hsec_no,board_hsec_oth,prevoc_yn,eduvoc_yn,cpp_b,cpp_g,cpp_t,c1_b,c1_g,c1_t,c2_b,c2_g,c2_t,c3_b,c3_g,c3_t,c4_b,c4_g,c4_t,c5_b,c5_g,c5_t,c6_b,c6_g,c6_t,c7_b,c7_g,c7_t,c8_b,c8_g,c8_t,c9_b,c9_g,c9_t,c10_b,c10_g,c10_t,c11_b,c11_g,c11_t,c12_b,c12_g,c12_t,c1to5b,c1to5g,c1to5t,c6to8b,c6to8g,c6to8t,c1to8b,c1to8g,c1to8t,c9to10b,c9to10g,c9to10t,c11to12b,c11to12g,c11to12t,c9to12b,c9to12g,c9to12t,c1to12b,c1to12g,c1to12t,Enr_range_school_grant
2020-21,2726,Ahmadnagar,1,272615,Mc Ahmednagar,1,Ahmadnagar Municipal Corporation,272615,272615017,PRABHAG NO 17,2726150008,ZENDIGATE,27261501710,GOVERNMENT TECHNICAL HIGHSCHOOL,"Near MSEB Power House, Station Road, Ahmednagar",414001,1985,2,11,Higher Secondary only with grades 11 & 12,3,1,Department of Education,1_Govt,1_Govt,11,12,10,Marathi,01 Marathi,0,0,0,19.088165,74.745413,9,241,9403375447,241,2354170,9422086334,www.dvet.gov.in,gths.ahmednagar@dvet.gov.in,Mr. Bhushan Suresh Bhagwat,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,0,Null,,,2,State Board,12.05.902,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,33,0,33,33,0,33,31 to 100
2020-21,2705,Akola,2,270508,Akola Mc,2,Akola Municipal Corporation,270508,270508007,AKOLA WD NO20,2705080003,MARATHI BOYS 17 WD NO 21,27050800702,MNC SEC SCHOOL 26,SHIVSENA VASAHAT AKOLA,444002,2014,2,8,Secondary only with grades 9 & 10,3,17,Municipal Corporation,1_Govt,1_Govt,9,10,10,Marathi,01 Marathi,0,0,0,20.698955,76.980704,9,,9403073668,,,9689300219,,MNCSCHOOLNO26@GMAIL.COM,Mrs. AASHA AJABRAO KATRE,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,101170,,0,Null,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,43,12,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,71,0,0,0,30,41,71,30,41,71,31 to 100
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715071,WARD NO 71,2707150086,CLUSTER6 Rukhmini Nagar,27071507101,GOVT TECH MADHYMIK SCHOOL,"Near Usmania Masjid,Depot Road,Amravati",444606,1916,2,11,Higher Secondary only with grades 11 & 12,3,1,Department of Education,1_Govt,1_Govt,11,12,10,Marathi,01 Marathi,19,0,0,20.929015,77.763778,9,,9423426085,,,8830213524,www.dvet.gov.in,gths.amaravati@dvet.maharashtra.gov.in,Shri R.M.Lokhande,2,1,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,0,Null,,,2,State Board,"02.01.013 , 02.01.907",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,13,83,78,9,87,0,0,0,0,0,0,0,0,0,0,0,0,148,22,170,148,22,170,148,22,170,101 to 250
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715069,WARD NO 69,2707150093,CLUSTER13 Kharkadipura,27071506910,M N PMARATHI GIRLS HIGH SCHOOL,Near Azad Hind Mandal Budhwara Chowk Amravati,444601,1960,2,6,Secondary with grades 1 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,5,10,10,Marathi,01 Marathi,4,19,0,20.92994,77.745725,2,721,9403306152,,,9730528795,,hmmcmgamt@gmail.com,Vaishali Kurhekar,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,0,,0,Null,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,11,22,33,15,21,36,11,17,28,0,31,31,0,22,22,0,0,0,0,0,0,10,6,16,37,60,97,47,66,113,0,53,53,0,0,0,0,53,53,47,119,166,101 to 250
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715069,WARD NO 69,2707150087,CLUSTER7 Belpura,27071506909,M N P MARATHI BOYS HIGH SCHOOL,"WADDARPURA,AMRAVATI. 444606.",444601,1971,2,6,Secondary with grades 1 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,5,10,10,Marathi,01 Marathi,4,19,0,20.929391,77.754938,2,721,9637623893,721,264655,9834201548,,mnpmarathiboys@gmail.com,MAROTI BABURAO SONONE,2,1,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,201045,,0,Null,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,28,16,0,16,19,0,19,20,0,20,20,0,20,0,0,0,0,0,0,0,0,0,51,12,63,51,12,63,40,0,40,0,0,0,40,0,40,91,12,103,101 to 250
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715069,WARD NO 69,2707150090,CLUSTER10 Gawalipura,27071506908,"M N P HINDI GIRLS HIGH SCHOOL,Nehru Ground","Near Nagpuri gate policestation,Amravati",444601,1958,2,6,Secondary with grades 1 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,5,10,4,Hindi,03 Hindi,10,19,0,20.929441,77.754913,2,,8788880598,,,9423424306,,mhghs@rediffmail.com,Smt.Rajashri M.Kulkarni,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,201049,,0,Null,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,21,7,28,30,4,34,27,6,33,27,13,40,22,12,34,0,0,0,0,0,0,6,3,9,78,17,95,84,20,104,49,25,74,0,0,0,49,25,74,133,45,178,101 to 250
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715046,WARD NO 46,2707150090,CLUSTER10 Gawalipura,27071504601,GOVT. VIDYA NIKETAN WALGAON RD,Infront of Nagpuri Gate Police Station Walgaon Road Amravati,444601,1967,2,7,Secondary with grades 6 to 10,1,1,Department of Education,1_Govt,1_Govt,6,10,10,Marathi,01 Marathi,0,0,0,20.936793,77.744715,9,721,9960733719,,,9960733719,,govt.vidyaniketanamt@gmail.com,PRITAM VIDYADHAR GANGANE,2,2,2,2-Non-ashram (Govt.),2,0,Not Applicable,0,,0,0,9,2,State Board,2,,0,Null,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,33,0,33,28,0,28,15,0,15,25,0,25,0,0,0,0,0,0,0,0,0,90,0,90,90,0,90,40,0,40,0,0,0,40,0,40,130,0,130,101 to 250
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715080,WARD NO 80,2707150081,CLUSTER1 Badnera,27071508006,ENG MEDIUM GOVT RESIDENTIAL SCHOOL AMRAVATI,"Near Marimata Temple, Behind Madhuban vrudhashram, Kondeshwar Road, Badnera, Amravati ",,2006,2,6,Secondary with grades 1 to 10,3,13,Tribal Welfare,1_Govt,1_Govt,1,10,19,English,02 English,0,0,0,21.11501,77.583409,2,721,8830774750,721,0,8806763381,https://tribal.maharashtra.gov.in,govtengresischoolamt2006@gmail.com,Ankush Keshaorao Gadge ,2,2,1,1-Ashram (Govt.),2,0,Not Applicable,2,,0,0,9,2,State Board,201153,,0,Null,,,2,2,0,0,0,13,14,27,8,17,25,16,10,26,19,13,32,18,18,36,16,15,31,17,15,32,16,14,30,15,16,31,17,16,33,0,0,0,0,0,0,74,72,146,49,44,93,123,116,239,32,32,64,0,0,0,32,32,64,155,148,303,251 to 1000
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715071,WARD NO 71,2707150086,CLUSTER6 Rukhmini Nagar,27071507103,Z P MADHYMIK BOYS SCHOOL,Maltekadi Road Near Bus Stand Amravati,444606,1909,2,5,Higher Secondary with grades 6 to 12,3,16,Zilla Parishad,1_Govt,1_Govt,6,12,10,Marathi,01 Marathi,18,4,0,20.929188,77.76712,9,721,7709871653,721,2672942,8788833693,,zpboyshighschoolamt@gmail.com,DILIP NAMDEVRAO PARKOR,2,2,0,Not Applicable,2,0,Not Applicable,0,,0,0,9,2,State Board,201053,,2,State Board,201024,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,3,11,13,2,15,33,4,37,56,13,69,104,42,146,112,46,158,0,0,0,24,5,29,24,5,29,89,17,106,216,88,304,305,105,410,329,110,439,251 to 1000
2020-21,2707,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715037,WARD NO 37,2707150091,CLUSTER11 Nawathe,27071503701,"MNP UPPER PRI SCHOOL, JEWAD",MNP UPPER PRI SCHOOL JEWAD ,444606,1974,2,6,Secondary with grades 1 to 10,3,17,Municipal Corporation,1_Govt,1_Govt,1,10,10,Marathi,01 Marathi,4,19,0,20.908074,77.767326,1,,8983260598,,,8983260598,,vandana.s.shete@gmail.com,Vandana Sudhakarrao Sawji,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,2,State Board,0,,0,Null,,,2,2,35,24,59,15,15,30,16,22,38,24,23,47,18,22,40,27,23,50,23,21,44,15,18,33,12,17,29,14,15,29,15,16,31,0,0,0,0,0,0,100,105,205,50,56,106,150,161,311,29,31,60,0,0,0,29,31,60,179,192,371,251 to 1000
