district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,block_cd_2
2735,Sangli,Pune,29,273502,Jath,273502
2709,Nagpur,Nagpur,19,270908,Parseoni,270908
2713,Chandrapur,Nagpur,8,271312,Chimur,271312
2726,Ahmednagar,Nashik,1,272608,Pathardi,272608
2734,Kolhapur,Pune,15,273413,Kolhapur,273413
2715,Nanded,Aurangabad,20,271517,Nanded M.C.,271517
2731,Satara,Pune,30,273106,Mahabaleshwar,273106
2732,Ratnagiri,Konkan,28,273201,Chiplun,273201
2707,Amravati,Amravati,3,270710,Dhamangaon Rly,270710
2720,Nashik,Nashik,22,272004,Dindori,272004
2703,Jalgaon,Nashik,13,270304,Bodwad,270304
2732,Ratnagiri,Konkan,28,273203,Guhagar,273203
2715,Nanded,Aurangabad,20,271502,Ardhapur,271502
2721,Thane,Konkan,33,272112,Shahapur,272112
2718,Jalna,Aurangabad,14,271804,Ghansawangi,271804
2726,Ahmednagar,Nashik,1,272606,Newasa,272606
2713,Chandrapur,Nagpur,8,271301,Chandrapur,271301
2724,Raigarh ,Konkan,27,272415,Uran,272415
2725,Pune,Pune,26,272503,Bhor,272503
2721,Thane,Konkan,33,272105,Kalyan,272105
2725,Pune,Pune,26,272515,Yerawada,272518
2724,Raigarh ,Konkan,27,272404,Mahad,272404
2701,Nandurbar,Nashik,21,270104,Taloda,270104
2720,Nashik,Nashik,22,272018,Nashik Urc-2,272016
2704,Buldana,Amravati,7,270407,Malakapur,270407
2711,Gondia,Nagpur,11,271107,Sadak Arjuni,271107
2713,Chandrapur,Nagpur,8,271308,Mul,271308
2714,Yavatmal,Amravati,36,271411,Pusad,271411
2705,Akola,Amravati,2,270507,Telhara,270507
2730,Solapur,Pune,32,273005,Malshiras,273005
2707,Amravati,Amravati,3,270715,Amravati Mc,270715
2718,Jalna,Aurangabad,14,271808,Jafrabad,271808
2720,Nashik,Nashik,22,272012,Sinner,272012
2726,Ahmednagar,Nashik,1,272603,Kopargaon,272603
2721,Thane,Konkan,33,272106,Kalyan Dombivli-Urc1,272106
2721,Thane,Konkan,33,272110,Navi Mumbai-Urc1,272110
2725,Pune,Pune,26,272517,Hadpasar,272517
2721,Thane,Konkan,33,272116,Ulhasnagar- Urc1,272116
2722,Mumbai (BMC),Konkan,17,272207,Urc-7 (Ghatkopar),272202
2731,Satara,Pune,30,273111,Wai,273111
2729,Osmanabad,Aurangabad,23,272906,Paranda,272906
2704,Buldana,Amravati,7,270406,Loanr,270406
2719,Aurangabad,Aurangabad,4,271909,Phulambri,271909
2726,Ahmednagar,Nashik,1,272611,Shevgaon,272611
2711,Gondia,Nagpur,11,271104,Gondia,271104
2711,Gondia,Nagpur,11,271102,Amgaon,271102
2722,Mumbai (BMC),Konkan,17,272202,Urc-2 (Kandivali),272202
2734,Kolhapur,Pune,15,273407,Radhanagari,273407
2705,Akola,Amravati,2,270504,Barshitakli,270504
2701,Nandurbar,Nashik,21,270106,Dhadgaon,270106
2728,Latur,Aurangabad,16,272807,Udgir,272807
2713,Chandrapur,Nagpur,8,271311,Bramhapuri,271311
2727,Beed,Aurangabad,5,272702,Ashti,272702
2731,Satara,Pune,30,273110,Satara,273110
2713,Chandrapur,Nagpur,8,271310,Nagbhid,271310
2720,Nashik,Nashik,22,272015,Yeola,272015
2725,Pune,Pune,26,272519,Pimpri,272519
2707,Amravati,Amravati,3,270709,Dharni,270709
2724,Raigarh ,Konkan,27,272408,Panvel,272408
2730,Solapur,Pune,32,273008,Pandharpur,273008
2729,Osmanabad,Aurangabad,23,272907,Tuljapur,272907
2722,Mumbai (BMC),Konkan,17,272203,Urc-3 (Goregaon),272203
2725,Pune,Pune,26,272508,Khed,272508
2724,Raigarh ,Konkan,27,272401,Alibag,272401
2707,Amravati,Amravati,3,270707,Chandur Rly,270707
2701,Nandurbar,Nashik,21,270101,Nandurbar,270101
2727,Beed,Aurangabad,5,272709,Patoda,272709
2717,Parbhani,Aurangabad,25,271709,Sonpeth,271709
2735,Sangli,Pune,29,273503,Kavathe Mahankal,273503
2709,Nagpur,Nagpur,19,270918,Urc 5,270914
2735,Sangli,Pune,29,273506,Palus,273506
2715,Nanded,Aurangabad,20,271503,Mudkhed,271503
2708,Wardha,Amravati,34,270802,Ashti,270802
2703,Jalgaon,Nashik,13,270303,Bhusawal,270303
2712,Gadchiroli,Nagpur,10,271201,Gadchiroli,271201
2714,Yavatmal,Amravati,36,271407,Mahagaon,271407
2714,Yavatmal,Amravati,36,271409,Ner,271409
2710,Bhandara,Nagpur,6,271006,Lakhandur,271006
2713,Chandrapur,Nagpur,8,271309,Sindewahi,271309
2730,Solapur,Pune,32,273007,Mohol,273007
2721,Thane,Konkan,33,272107,Mira Bhayandar,272107
2732,Ratnagiri,Konkan,28,273208,Ratnagiri,273208
2725,Pune,Pune,26,272502,Baramati,272502
2725,Pune,Pune,26,272509,Maval,272509
2734,Kolhapur,Pune,15,273412,Chandgad,273412
2734,Kolhapur,Pune,15,273409,Bhudargad,273409
2706,Washim,Amravati,35,270602,Malegaon,270602
2731,Satara,Pune,30,273103,Koregaon,273103
2727,Beed,Aurangabad,5,272711,Wadwani,272711
2711,Gondia,Nagpur,11,271106,Salekasa,271106
2715,Nanded,Aurangabad,20,271512,Umri,271512
2719,Aurangabad,Aurangabad,4,271906,Sillod,271906
2726,Ahmednagar,Nashik,1,272615,Mc Ahmednagar,272615
2731,Satara,Pune,30,273107,Man,273107
2717,Parbhani,Aurangabad,25,271705,Parhbani,271705
2720,Nashik,Nashik,22,272009,Nashik,272009
2709,Nagpur,Nagpur,19,270904,Saoner,270904
2735,Sangli,Pune,29,273510,Sangli Miraj Kupwad M. Corporation,273510
2714,Yavatmal,Amravati,36,271416,Zari,271416
2715,Nanded,Aurangabad,20,271508,Biloli,271508
2704,Buldana,Amravati,7,270411,Sangrampur,270411
2728,Latur,Aurangabad,16,272810,Chakur,272810
2711,Gondia,Nagpur,11,271103,Deori,271103
2720,Nashik,Nashik,22,272005,Igatpuri,272005
2708,Wardha,Amravati,34,270806,Samudrapur,270806
2707,Amravati,Amravati,3,270713,Tiosa,270713
2710,Bhandara,Nagpur,6,271001,Bhandara,271001
2717,Parbhani,Aurangabad,25,271703,Manwat,271703
2703,Jalgaon,Nashik,13,270316,Jalgaon M. Corp.,270316
2735,Sangli,Pune,29,273509,Walwa,273509
2715,Nanded,Aurangabad,20,271505,Kandhar,271505
2702,Dhule,Nashik,9,270202,Sakri,270202
2716,Hingoli,Aurangabad,12,271603,Basmath,271603
2707,Amravati,Amravati,3,270705,Chandur Bz,270705
2709,Nagpur,Nagpur,19,270907,Mouda,270907
2732,Ratnagiri,Konkan,28,273202,Dapoli,273202
2703,Jalgaon,Nashik,13,270305,Chalisgaon,270305
2735,Sangli,Pune,29,273511,Kadegaon,273511
2703,Jalgaon,Nashik,13,270314,Rawer,270314
