district_cd,District,Division,Budget_district_seq
2701,Nandurbar,Nashik,21
2711,Gondia,Nagpur,11
2712,Gadchiroli,Nagpur,10
2713,Chandrapur,Nagpur,8
2714,Yavatmal,Amravati,36
2715,Nanded,Aurangabad,20
2716,Hingoli,Aurangabad,12
2717,Parbhani,Aurangabad,25
2718,Jalna,Aurangabad,14
2719,Aurangabad,Aurangabad,4
2720,Nashik,Nashik,22
2721,Thane,Konkan,33
2722,Mumbai (BMC),Konkan,17
2724,Raigarh,Konkan,27
2725,Pune,Pune,26
2726,Ahmednagar,Nashik,1
2727,Beed,Aurangabad,5
2728,Latur,Aurangabad,16
2729,Osmanabad,Aurangabad,23
2730,Solapur,Pune,32
2731,Satara,Pune,30
2732,Ratnagiri,Konkan,28
2733,Sindhudurg,Konkan,31
2734,Kolhapur,Pune,15
2735,Sangli,Pune,29
2736,Palghar,Konkan,24
2708,Wardha,Amravati,34
2702,Dhule,Nashik,9
2703,Jalgaon,Nashik,13
2704,Buldana,Amravati,7
2705,Akola,Amravati,2
2706,Washim,Amravati,35
2707,Amravati,Amravati,3
2710,Bhandara,Nagpur,6
2709,Nagpur,Nagpur,19
