_id,ac_year,district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,MNC_SR,MNC_Desc,block_cd_2,vill_ward_cd,Village_Name,cluster_cd,Cluster_Name,udise_sch_code,school_name,address,pincode,Establishment,sch_loc_r_u,sch_category_id,School_category,sch_type,sch_mgmt_id,Mgt_desc,state_mgt_3,state_mgt_4,class_frm,class_to,medinstr1,medium_desc,medium_state,medinstr2,medinstr3,medinstr4,latitude,longitude,ppsec_yn,stdcode,mobile,stdcode_resp,phone_resp,mobile_resp,website,email,resp_name,cwsn_sch_yn,shift_sch_yn,resi_sch_type,resi_sch_type_Desc,minority_yn,minority_type,Minority_desc,anganwadi_yn,anganwadi_code,anganwadi_stu_b,anganwadi_stu_g,anganwadi_tch_trained,board_sec,Board_Desc_Sec,board_sec_no,board_sec_oth,board_hsec,Board_Hseco_Desc,board_hsec_no,board_hsec_oth,prevoc_yn,eduvoc_yn,cpp_b,cpp_g,cpp_t,c1_b,c1_g,c1_t,c2_b,c2_g,c2_t,c3_b,c3_g,c3_t,c4_b,c4_g,c4_t,c5_b,c5_g,c5_t,c6_b,c6_g,c6_t,c7_b,c7_g,c7_t,c8_b,c8_g,c8_t,c9_b,c9_g,c9_t,c10_b,c10_g,c10_t,c11_b,c11_g,c11_t,c12_b,c12_g,c12_t,c1to5b,c1to5g,c1to5t,c6to8b,c6to8g,c6to8t,c1to8b,c1to8g,c1to8t,c9to10b,c9to10g,c9to10t,c11to12b,c11to12g,c11to12t,c9to12b,c9to12g,c9to12t,c1to12b,c1to12g,c1to12t,Enr_range_school_grant
65af7ec870a4882953fa5613,2020-21,2704,Buldana,Amravati,7,270401,Buldana,0,ZP,270401,270401087,BULDANA (N.P.),2704010001,BULDANA (NP),27040108712,"GOVT STUDY PRIMARY SCHOOL, BULDHANA",DISTRICT INSTITUTE OF EDUCATION AND TRAINING CHIKHALI ROAD BULDANA,443001,1946,2,1,Primary only with grades 1 to 5,3,1,Department of Education,1_Govt,1_Govt,1,4,10,Marathi,01 Marathi,0,0,0,20.522095,76.18612,2,7262,9881310576,0,0,9881310576,,,HARESHWAR NAKHATE,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,0,0,0,0,0,0,5,5,2,3,5,2,3,5,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,21,0,0,0,5,16,21,0,0,0,0,0,0,0,0,0,5,16,21,1 to 30
65af7ec870a4882953fa5614,2020-21,2705,Akola,Amravati,2,270501,Akola Ps,0,ZP,270501,270501189,WARD NO. 15,2705010028,AKOLA,27050118907,SHASKIYA ABHYAS SCHOOL AKOLA,DIET. hanuman Basti  Akola.,444001,1916,2,2,Upper Primary with grades 1 to 8,3,1,Department of Education,1_Govt,1_Govt,1,8,10,Marathi,01 Marathi,0,0,0,20.717233,76.999176,2,724,9850260056,0,0,9579949951,,dietakola@rediffmail.com,Mangesh Rameshrao Sadar,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,2,1,0,0,0,14,12,26,8,3,11,16,12,28,22,18,40,12,13,25,10,11,21,16,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,58,130,26,23,49,98,81,179,0,0,0,0,0,0,0,0,0,98,81,179,101 to 250
65af7ec870a4882953fa5615,2020-21,2707,Amravati,Amravati,3,270715,Amravati Mc,3,Amravati Municipal corporation,270715,270715049,WARD NO 49,2707150090,CLUSTER10 Gawalipura,27071504901,GOVT UTTAR BUNIYADI SCHOOL,"walgaon road ,near nagpuru gate ,amravati,maharashtra",444601,1911,2,2,Upper Primary with grades 1 to 8,3,1,Department of Education,1_Govt,1_Govt,1,8,10,Marathi,01 Marathi,0,0,0,20.937745,77.745685,2,721,9404857525,0,0,9404857525,www.govtmenamt.dted.org.in,govtubschoolamt11@gmail.com,SUDHIR TANBAJI WASNIK,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,2,2,0,0,0,7,3,10,12,3,15,10,3,13,16,4,20,10,6,16,23,0,23,15,2,17,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,55,19,74,52,5,57,107,24,131,0,0,0,0,0,0,0,0,0,107,24,131,101 to 250
65af7ec870a4882953fa5616,2020-21,2708,Wardha,Amravati,34,270808,Wardha,0,ZP,270808,270808175,ITWARA BAZAR WARD NO. 20,2708080011,WARDHA,27080817501,DISTRICT INSTIT. OF E.& T.WAR   WARDHA,at wardha tah wardha dist wardha,442001,1954,1,2,Upper Primary with grades 1 to 8,3,1,Department of Education,1_Govt,1_Govt,1,7,10,Marathi,01 Marathi,0,0,0,20.736292,78.604291,2,7152,9766223585,7152,240591,9766223585,,dietwardha@gmail.com,sunil M. Raut,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,2,1,0,0,0,4,1,5,5,4,9,3,3,6,7,4,11,6,3,9,10,5,15,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,40,19,9,28,44,24,68,0,0,0,0,0,0,0,0,0,44,24,68,31 to 100
65af7ec870a4882953fa5617,2020-21,2709,Nagpur,Nagpur,19,270914,Urc 1,32,Nagpur Municipal Corporation,270914,270914084,RAMNAGAR,2709140012,TILAK UPS-DHANTOLI,27091408402,"SHASHKIYA SARAV PATHSALA RAVINAGAR, NAGPUR",SHASKIYSARAV PATH SHALA RAVINAGAR NAGPUR,440001,1954,2,1,Primary only with grades 1 to 5,3,1,Department of Education,1_Govt,1_Govt,1,4,10,Marathi,01 Marathi,0,0,0,21.153283,79.057053,1,0,7030104957,0,0,7030104957,,,Rajni Shankar Raju,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,0,0,6,15,21,3,6,9,10,4,14,2,6,8,11,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49,0,0,0,26,23,49,0,0,0,0,0,0,0,0,0,26,23,49,31 to 100
65af7ec870a4882953fa5618,2020-21,2714,Yavatmal,Amravati,36,271415,Yavatmal,0,ZP,271415,271415105,UMARSARA,2714150010,WADGAON ROD,27141510505,GOVT. SARAV PATHASHALA UMARSARA,"DIET,Godhani Road,Near Akashwani,Yavatmal",445001,1958,2,1,Primary only with grades 1 to 5,3,1,Department of Education,1_Govt,1_Govt,1,4,10,Marathi,01 Marathi,0,0,0,20.3808,78.1326,2,7232,9011321108,0,0,8275399602,,pdiet@gmail.com,Pankaj M.Kinekar,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,4,3,7,1 to 30
65af7ec870a4882953fa5619,2020-21,2725,Pune,Pune,26,272518,Pune City,47,Pune Municipal Corporation,272518,272518005,HARKA NAGAR RAJEWADI,2725180003,Pune City CRC No. 43,27251800507,URDU SARAV PATHSHALA,"384/A BHAWANI PETH,PUNE 42",411002,1932,2,2,Upper Primary with grades 1 to 8,2,1,Department of Education,1_Govt,1_Govt,1,7,18,Urdu,04 Urdu,0,0,0,18.507731,73.874283,2,20,9881250912,20,26444826,9421120335,,govurdudedwomen@gmail.com,Smt Suvarna Torne,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,1 to 30
65af7ec870a4882953fa561a,2020-21,2721,Thane,Konkan,33,272114,Thane Mnc-Urc1,51,Thane Municipal Corporation,272114,272114014,PRABAG NO 47,2721140002,CRC 02,27211401418,HEAD QUARTER POLICE LINE PRIMARY MARATHI,kharkar ali kourt naka thane,400601,1924,2,1,Primary only with grades 1 to 5,3,1,Department of Education,1_Govt,1_Govt,1,4,10,Marathi,01 Marathi,0,0,0,19.194355,72.980798,2,22,9594849971,22,25440671,9594849971,,aaryanapatil1@gmail.com,Amol Vijay Patil,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,0,0,0,0,0,2,2,4,3,3,6,3,6,9,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,28,0,0,0,12,16,28,0,0,0,0,0,0,0,0,0,12,16,28,1 to 30
65af7ec870a4882953fa561b,2020-21,2725,Pune,Pune,26,272505,Haveli,0,ZP,272505,272505088,PUNE CANTONMENT,2725050022,PUNE CANTONMENT,27250508890,SHASKIY URDU ADHYAPAK VIDYALAY (MEN) SANLAGNA SARAV PATHSHALA,"Azam Campus, New Modikhana, Pune-411001",411001,1919,2,2,Upper Primary with grades 1 to 8,3,1,Department of Education,1_Govt,1_Govt,1,7,18,Urdu,04 Urdu,0,0,0,18.50337,73.875792,2,20,9767023872,0,0,9404616156,,govturdupractisingschool@gmail.com,Mr Krushna Padtare,2,2,0,Not Applicable,2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,2,2,0,0,0,3,10,13,2,5,7,4,2,6,9,6,15,5,10,15,4,10,14,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,56,15,13,28,38,46,84,0,0,0,0,0,0,0,0,0,38,46,84,31 to 100
65af7ec870a4882953fa561c,2020-21,2703,Jalgaon,Nashik,13,270305,Chalisgaon,0,ZP,270305,270305001,CHALISGAON,2703050001,CHALISGAON,27030500170,MATIMAND NIVASI VIDYA. CHALISGAON,"AYODHYA NAGAR ,DERABARDI,CHALISGAON",424101,2007,2,1,Primary only with grades 1 to 5,3,10,Social Welfare,1_Govt,1_Govt,1,5,10,Marathi,01 Marathi,4,19,0,20.475169,74.999795,2,0,7620137386,0,0,9881260170,,mnvcsn@gmail.com,Pankaj Dnyaneshwar Bahiram,1,2,2,2-Non-ashram (Govt.),2,0,Not Applicable,2,,0,0,9,0,,,,0,,,,0,0,0,0,0,16,0,16,16,0,16,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,40,0,40,31 to 100
